,,,,,,,,,
,Introduction,,e3177 || IT Stops Now,,,,,,
,Technology,,Web Panel & Web Services:  React & Sanity CMS,,,,,,
,Supported Browsers,,"All latest versions of Firefox, Chrome & Safari supported ; Internet Explorer not supported",,,,,,
,#,Module,Sub-Module,Web Page Description,CMS Notes,Hours,,Notes,Client Comments
,,,,,,React,Sanity CMS,,
,,,,,,,,,
,,Language,English,,,,,Adding any other languages may require additional effort,
,,,,,,,,,
,,Currency,Euro,,,,,Adding any other currencies may require additional effort,
,,,,,,,,,
,,Country,UK,,,,,Please let us know if the site will not be available in any countries,
,,,,,,,,,
,,API Integration,,,,,,,
,,,,,,,,,
,,Maichimp / Sendgrid,,For newsletter integration,,16,,"License & any other cost associated with using this, will be provided by the client. Hours will vary if some other service is used",
,,,,,,,,,
,,MP Lookup Integration,,For find the MP of the constituency.,,,,"License & any other cost associated with using this, will be provided by the client. Hours will vary if some other service is used",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Database Design,,,,8,       ,,
,,,,,,,,,
,,Project Setup,,,,12,,,
,,,,,,,,,
,,User Roles,,,,,,,
,,,,,,,,,
,,End User,,Website,,,,,
,,,,,,,,,
,,Admin,,Sanity CMS,,,,,
,,,,,,,,,
,,Applicant,,,,,,,
,,,,,,,,,
,,Website Menu,,The following options will be shown in the site menu. User can navigate to the various sections from here,,,,,
,,,Home,This will take the user to the 'Home' screen,,3,1,,
,,,About,This will take the user to the 'About' screen,,,,,
,,,The Issue,This will take the user to the 'The Issue' screen,,,,,
,,,News,This will take the user to the 'News' screen,,,,,
,,,Stories,This will take the user to the 'Stories' screen,,,,,
,,,Wall of Rememberence,This will take the user to the 'Wall of Rememberence' screen,,,,,
,,,Research and Evidence,This will take the user to the 'Research and Evidence' screen,,,,,
,,,Recover and Support,This will take the user to the 'Recover and Support' screen,,,,,
,,,Take Actions,This will take the user to the 'About Us' screen,,,,,
,,,,,,,,,
,,Homepage,,,,,,,We will need ability to change logo.
,,,Hero Section,,Content would be added from CMS,2,2,,
,,,,Large banner image/background video.,,,,,Need to be able to change banner colour at the top and any images
,,,,Main heading text.,,,,,"Need ability to change font type, size and colour. This includes, changing colour of single words - not just the whole block"
,,,,Supporting subheading/description.,,,,,"Need ability to change font type, size and colour. This includes, changing colour of single words - not just the whole block"
,,,     Multiple CTA buttons:,,,1,1,,
,,,,Get Involved,,,,,Ability to change button text and link to a webpage. Ability to change colour of text within the button and button colour
,,,,Read Stories,,,,,Ability to change button text and link to a webpage. Ability to change colour of text within the button and button colour
,,,,View Roll of Honour,,,,,Ability to change button text and link to a webpage. Ability to change colour of text within the button and button colour
,,,Awareness Statistics Section,,,2,1,,
,,,     Statistics Cards,Display key statistics in card/grid layout. Each card includes:,,,,,"Need to be able to change icons, text and statistics."
,,,,Icon/image,,,,,
,,,,Main statistic number,,,,,
,,,,Supporting description,,,,,
,,,     Animated Counter,Number counting animation on scroll.,,,,,All numbers should increase fairly quickly but the statistic 12 (In 12 of 13) should increase slower and be pulsing like a heart
,,,     Information Alert Box,Highlight important notice/information.,,,,,
,,,Quote & Emotional Section,,,3,2,,
,,,     Quote Block,Display emotional/supportive quote.,,,,,"Allow me to change block colour, change fonts of title and text and the holding image. It doesn't need the additional icon option 
whereit says ""support"" ""reform"" ""Change"" ""speakout"". But the get involved button needs to go somewhere. So do we populate some 
sort of  contact form? Asking people's name, role, email address, telephone number, what they can bring to the organisation? Would 
need to be spam-proof."
,,,,Image support in addition to the quote,,,,,
,,,     Quote Cards Section,Display informational cards with each card having following component,,,,,
,,,,Icon/image,,,,,
,,,,Title,,,,,
,,,,Short description,,,,,
,,,Objectives / Mission Goals Section,,,4,2,,
,,,     Goal/Objective Section,Display organization goals/objectives in a card-based grid layout. Each objective card contains:,,,,,Must be able to change icons and text font types / sizes.
,,,,Serial number,,,,,
,,,,Icon/image,,,,,
,,,,Objective title,,,,,
,,,,Short description,,,,,
,,,     Mission Statement Banner,Full-width highlighted mission statement area.,,,,,"I will need ability to change block colour, icon, font type, size and colour (even for individual words)"
,,,,Left-side icon/image support.,,,,,
,,,,Main motivational statement.,,,,,
,,,,Supporting subtitle/message.,,,,,
,,,,Quote/testimonial display with author name.,,,,,
,,,Founder Showcase Section,Display founding members in card/grid layout. Each card/grid layout would contain following:,"Add/edit/delete functionality per list item.
Reorder list item dynamically.",3,1,,"Also need ability to change font type of the titles for eg. ""Our Founder"" and ""Our Founding Members"""
,,,,Profile image.,,,,,
,,,,Member name.,,,,,
,,,,Designation/title.,,,,,
,,,,Short supporting quote/statement.,,,,,
,,,,"“View Bio” CTA, clicking upon this  the card will flip to showcase the bio details",,,,,
,,,,,,,,,
,,,,,,,,,
